nama_tempat,user,review,rating
Tjoritja / West MacDonnell National Park,Youarn Bell,"Just go here! Absolutely amazing place. While there may not be heaps to do, the views here are absolutely spectacular. …",5
Tjoritja / West MacDonnell National Park,Reuben “Roo” Turner,"Get a Parks pass before leaving as there is NO phone service (telstra).
The lack of service makes camping a challenge when you are on a no plan camping trip.",5
Tjoritja / West MacDonnell National Park,Arne Zandbergen,Just stunning! Experienced as Larapinta Trail  hikers,5
Tjoritja / West MacDonnell National Park,Shaun Dennis,"Simply a wonderful area, make sure you check out the gorges in the gaps. Lots of water pools for a quick dip.",4
Tjoritja / West MacDonnell National Park,Richard Huzil,"Nice easy hike to Standley Chasm, great views and contrasts with vegetation, geology and sky.",5
Tjoritja / West MacDonnell National Park,barry hone,Beaut place to spend a whole day lots of lovely scenery out the Glen Helen turnoff and do the loop  coming back through Hermansburg and see Albert Namajiras house good feed @ Glen Helen.,5
Tjoritja / West MacDonnell National Park,Tong Gong,"Slightly less touristy comparing to Uluru, which means that you will be able to enjoy more the nature by yourself :D",5
Tjoritja / West MacDonnell National Park,Sandra Smart,"The short 1.2 km walk is so worth it. Cafe n souvenir shop to revive yourself.
Note:Charge for walking gorge.",5
Tjoritja / West MacDonnell National Park,Geoffrey Lawrey,"This place is another wonder world, beautiful in every way, we were in awe of the many different shapes and sizes of this unique range.",5
Tjoritja / West MacDonnell National Park,Grazia Jennifer Grasso,"One of the best spot in Alice! Take a full day and drive around the park: water holes, hiking, desert and fun!",5
Tjoritja / West MacDonnell National Park,Terry Black,Buetiful views a adventure waiting to be had its a good thing if your a local in alice you can go out for a day trip or over night enjoy your stay in the nt,4
Tjoritja / West MacDonnell National Park,Leon Edwards,Amazing spot for camping and stargazing in a swag! I would definitely recommend climbing mount sonder for sunrise!,5
Tjoritja / West MacDonnell National Park,greg wilton,A quick trip in the hottest part of the day due to the fact we were part of a tour. Spectacular views of the area and the gorge,4
Tjoritja / West MacDonnell National Park,Glen Moss,Great scenery,5
Tjoritja / West MacDonnell National Park,Nat Luxton,Beautiful!! Make sure you come well prepared with food/water & you'll enjoy it more,5
Tjoritja / West MacDonnell National Park,Alicja Sarnecka,Morning walk up Mount Gillen,5
Tjoritja / West MacDonnell National Park,Richard Bilski,Larapinta trail is tough and awe inspiring. Be prepared and you'll have an amazing adventure.,5
Tjoritja / West MacDonnell National Park,mitchel rutherford,Worth while visiting. Beautiful gorges with changing colours in the rocks when sunny,5
Tjoritja / West MacDonnell National Park,Markus Richardson,Amazing!,5
Tjoritja / West MacDonnell National Park,Ben Huxley,One the best day trips I've been one. Would have been better to spend a few days there.,5
Tjoritja / West MacDonnell National Park,Peter Haczek,Exceptional NP,5
Tjoritja / West MacDonnell National Park,Pamela Stommel,Great Park. Loved Simpsons Gap.,5
Tjoritja / West MacDonnell National Park,Jon Turner,"Lovely Park, Redbank Gorge is the definately the highlight here if you are game to swim through the holes",5
Tjoritja / West MacDonnell National Park,Alan Morgan,Absolutely amazing places along the way.. Ormiston gorge for the pick though..spot on water hole and swim spot,5
Tjoritja / West MacDonnell National Park,Gwel' Taz,Amazing walks and scenes there,5
Tjoritja / West MacDonnell National Park,Kim Renshaw,Omg just beautiful….get up early and explore u won’t be disappointed,5
Tjoritja / West MacDonnell National Park,Deborah Roffey,"Lots of beautiful spots to stop and admire the scenery, gaps, and pools. Lovely!",5
Tjoritja / West MacDonnell National Park,Amrit Singh,"Nice place to visit.... Al surroundings are very neat and clean..
It feels quite nice to visit there...",4
Tjoritja / West MacDonnell National Park,Anna O'Sullivan,Amazing landscape and scenery. Park facilities are adequate given the remoteness of the locations,5
Tjoritja / West MacDonnell National Park,Adam Cunningham,"Absolutely magical place. If you haven't been, get out here and experience it",5
Tjoritja / West MacDonnell National Park,Julianne Ferres,"Such a beautiful place to visit, our country is amazing we r so lucky.",5
Tjoritja / West MacDonnell National Park,Nathan Andrews,"Spectacular place, don't be afraid to climb for some breathtaking views",5
Tjoritja / West MacDonnell National Park,Col Shaw,"Fantastic views, great walks, wildlife and flora. Must see.",5
Tjoritja / West MacDonnell National Park,Nicole Peel,"Beautiful, wide open blue skies, hot in winter, I miss you already.",5
Tjoritja / West MacDonnell National Park,Wally Thompson,A very picture perfect place to visit and speand some tiome in. Recommend it to any traveller in the area.,5
Tjoritja / West MacDonnell National Park,Rama Gardner,Prices were 5 per adult and very quite loved it around camp fire,5
Tjoritja / West MacDonnell National Park,John.c. Shiels,Inspirering scenery. Great place for a swim also,5
Tjoritja / West MacDonnell National Park,Kamil Chetty,Amazing day walks and wildlife everywhere...  Try and spot the rock wallabies and birds of prey,5
Tjoritja / West MacDonnell National Park,kelly johnson,Beautiful scenery gorgeous views and easy walk.,5
Tjoritja / West MacDonnell National Park,Michael Chapman,Absolutely gorgeous sunsets that turn the entire area a beautiful colour of Orange.,5
Tjoritja / West MacDonnell National Park,Ian Carter,"Good camps , get in early , hard to escape the crowd's.. have to be patient to get the money shots",3
Tjoritja / West MacDonnell National Park,Sharon Shepherd,"Cool joint, would have loved to read everything but alot to ready,",4
Tjoritja / West MacDonnell National Park,Chris Hall,A highlight of our trip so many excellent sights,5
Tjoritja / West MacDonnell National Park,Luke Jenkinson,"Amazing Gorges, beautiful walks and incredible camp sites...",5
Tjoritja / West MacDonnell National Park,Emma Furniss,Beautiful easy walk and if you lucky u will spot the wallabies,5
Tjoritja / West MacDonnell National Park,Jacqueline Walters,"An amazing place, really enjoyed visiting here.",5
Tjoritja / West MacDonnell National Park,Yuval Shahar,Amazing national park! Few cold natural pools to swim in the hot days,5
Tjoritja / West MacDonnell National Park,Nicholas McNamara,Must see destination ! some great hikes here !,5
Tjoritja / West MacDonnell National Park,Michal,Absolutely stunning views and great walks.,5
Tjoritja / West MacDonnell National Park,Michael Kotkamp,Awesome walk and great views from this section of the trail,4
Tjoritja / West MacDonnell National Park,paul golst,"Really good walk, not for everyone though, moderate to hard.",5
Tjoritja / West MacDonnell National Park,Adam Selent,Great dive and walks. Fascinating scenery,4
Tjoritja / West MacDonnell National Park,Philippe De Carvalho,Beautiful differents places to visit where you can swim,5
Tjoritja / West MacDonnell National Park,Jesse Adamson,This Yank says EPIC !!!Check out Simpsons Gap ....Amazing you will dig it 😎🇺🇸🇺🇸🇺🇸🇦🇺🇦🇺🇦🇺🇺🇸🇺🇸🇺🇸 …,5
Tjoritja / West MacDonnell National Park,Ken L,Awesome area. Wish l had a week there,5
Tjoritja / West MacDonnell National Park,Adib Mohammad,No entry point. Drove about 40km but could not find the entrance. Such waste of time.,Unknown
Tjoritja / West MacDonnell National Park,Meshack Kosgei (Darren.n),Visit when the sun is setting and enjoy the panoramic view of the gorge,4
Tjoritja / West MacDonnell National Park,Jo Geo,Plan couple days for camping Ormistong Gorge is a must go waterhole!,5
Tjoritja / West MacDonnell National Park,Josh Jones,Absolutely breathtaking and the water was very refreshing,5
Tjoritja / West MacDonnell National Park,Camille Rowan,Very well maintained facilities. Knowledgeable and friendly staff,4
Tjoritja / West MacDonnell National Park,Salil Ray,Unique landscape...where rivers run dry or ten feet high,4
Tjoritja / West MacDonnell National Park,Nick Kafaltis,Amazing views and very nice pools,5
Tjoritja / West MacDonnell National Park,Daniel Anderson (Stix),Beautiful place awesome views!,5
Tjoritja / West MacDonnell National Park,Terry Larsen,An amazing place makes mere mortals feel humble,4
Tjoritja / West MacDonnell National Park,nonya buisness,Colours are amazing. Clay pan is an oasis,4
Tjoritja / West MacDonnell National Park,Donald Barclay,Lovely area with very good roads,5
Tjoritja / West MacDonnell National Park,mik geo,Beautiful part of the northern territory  a must see,5
Tjoritja / West MacDonnell National Park,Christine Hollands,Breathtakingly beautiful oh what a wonderful holiday.,5
Tjoritja / West MacDonnell National Park,John Kunowski,Worth while visiting beautiful walk,5
Tjoritja / West MacDonnell National Park,Michael Baumann,fantastic gorge ... so great colours.,5
Tjoritja / West MacDonnell National Park,Caz Robinson,What an incredible place Australia is with cool places like this 😍🇦🇺👌 …,5
Tjoritja / West MacDonnell National Park,Julien Dubois,An incredibly beautiful introduction to the Red Centre Way,5
Tjoritja / West MacDonnell National Park,Emerita Lagto,Nice place to relax,4
Tjoritja / West MacDonnell National Park,Jeannette Vogels,"Wonderful place, a must to see.",4
Tjoritja / West MacDonnell National Park,margot,A great experience def wort a visit,5
Tjoritja / West MacDonnell National Park,kevin baxter,Was still good but the fires had destroyed a lot of the Bushland,4
Tjoritja / West MacDonnell National Park,Ilona Cusack,So lovely to swim no crocs,5
Tjoritja / West MacDonnell National Park,Ana,Astonishing places to visit not far away from Alice Springs,5
Tjoritja / West MacDonnell National Park,doug randall,Whole area bit of a letdown needs one hell of a spruce and tidy up,2
Tjoritja / West MacDonnell National Park,Aiden Tieu,"Great range, lots to see and do",5
Tjoritja / West MacDonnell National Park,Jennifer Divers,Awsome sights a must see,5
Tjoritja / West MacDonnell National Park,kerry walker,Great time sunset camel ride,4
